"Comp-FITC_Alexa 488-A :: CD56","Comp-PE-A :: CD11c","Comp-PE-Cy55-A :: CD3","Comp-PE-Cy7-A :: CD45RO","Comp-APC_Ax 647-A :: 2H2","Comp-APC-Ax700-A :: CD4","Comp-APC-H7-A :: CD8","EventNumberDP"
138.181,48.9092,20.7873,84.7622,-72.7495,403.303,489.311,1406
372.538,303.247,207.921,-53.7521,732.521,-156.76,290.465,1411
306.893,135.818,10819.9,2396.68,-498.661,-685.325,23188.3,1418
379.878,161.938,53.8945,-40.2791,121.198,-298.272,125.072,1423
213.667,49.2821,15834.5,1311.79,-37.9221,13454.5,-278.624,1424
294.517,199.914,3009.82,10371,-999.874,482.399,5961.18,1447
125.151,178.784,9854.93,1796.53,-449.161,9915.49,682.363,1454
516.119,139.104,5486.9,205.07,1904.46,-1367.24,7787.31,1459
512.878,101.18,12307.7,12187.5,182.349,20098,-885.084,1466
340.773,128.166,4501.75,9349.8,2.65923,13239.1,-295.483,1477
259.407,32.8145,3506.8,728.835,576.371,19107.8,-623.112,1490
365.903,150.885,4108.59,7938.75,739.785,-779.681,1026.77,1502
467.121,132.418,10115.9,13370.7,-86.8233,21822.4,148.53,1507
307.061,-45.1235,9872.24,-215.42,1379.38,12732.3,520.3,1513
447.318,35.3735,4955.09,4763.66,548.42,12224.4,-393.685,1514
227.015,132.606,8784.85,1279.42,688.792,15888,-732.191,1519
297.021,112.101,8679.56,10330.2,537.613,20932,-300.54,1520
284.219,202.535,6270.19,681.374,1458.24,497.765,35.4857,1531
137.572,478.578,9552.26,29627.8,-1906.63,7519.96,-499.172,1538
486.194,4903.7,1174.48,6322.54,3907.96,828.855,1807.58,1543
278.095,302.483,7217.49,13222.5,523.544,15403,-231.604,1544
245.384,71.8507,524.151,-93.7896,1369.25,37100.3,-484.577,1549
200.684,132.907,6626.88,-97.8892,636.998,-1970.57,22055,1550
227.473,111.926,223.145,-91.9302,776.408,139.085,385.461,1555
361.426,84.6697,11275.1,-259.137,1675.09,18710.9,-458.571,1556
226.194,87.4271,11226.3,30.2258,1730.92,15902.2,884.432,1561
103.465,40.8432,13065.8,6.64504,957.672,17191.3,5.21314,1562
174.125,11.6137,179.901,-81.7487,856.157,283.971,214.326,1567
207.777,174.801,4962.42,8550.89,213.038,9961.97,-1037.33,1568
3.47429,-14.2154,12125,860.232,166.967,15763.5,-397.167,1579
320.42,232.268,8172.78,12750.6,742.159,11478,83.3326,1591
278.016,178.479,8327.32,1217.5,-417.064,912.789,23096.7,1598
281.877,223.524,11106.6,21547.1,-1325.32,22872.4,-526.782,1604
